province,lat,lng,operators,awn_license_no,awn_station_code,nt_license_no,nt_station_code,tuc_license_no,tuc_station_code
นครราชสีมา,14.654444,101.865833,AWN,060365103247,808924 จิมทอมป์สันฟาร์ม,,,,
นครราชสีมา,15.4575,102.824721,AWN|NT,060365103258,808919,060367058273,808919_MCMYG,,
นครราชสีมา,14.981943,102.118888,AWN|NT,060365103280|060357055585,870046 ข้างหอพักราชมงคลอีสาน 1|870046 ข้างหอพักราชมงคลอีสาน 1,060364056486,870046_SORDY,,
นครราชสีมา,14.569721,101.232499,AWN|NT|TUC,060365103281|060359121970,870163|870163 เขาใหญ่ไวเนอร์รี่),060361186649|060367122129,NMA0319-L23|NMA0319,060357006524,NMA0319-U21
นครราชสีมา,14.474999,101.569999,AWN|TUC,060365103282|060358069320,870418 โป่งตาลอง-ปากช่อง|870418 โป่งตาลอง-ปากช่อง,,,060357019500|060366066233,NMA0314-U21|NMA0314
นครราชสีมา,15.258055,101.759166,AWN|NT,060365103283|060358033241,870424|870424 ถนนหักใหญ่-ด่านขุนทด,060363058838,870424_TNHDT,,
นครราชสีมา,15.573054,102.144444,AWN|NT,060365103284|060358058035,870640 หนองแขม-บ้านเหลื่อม|870640 หนองแขม-บ้านเหลื่อม,060361127428,870640_NKMBL,,
นครราชสีมา,14.905555,101.959722,AWN|NT,060365103285|060359126456,870734 หนองกุ้ง-โคกกรวด|870734 หนองกุ้ง-โคกกรวด,060360068107,870734_NKGKT,,
นครราชสีมา,14.793888,101.652222,AWN|NT,060365103286|060358078804,870810|870810 ซับตะเคียน-สีคิ้ว,060360192544,870810_STKSK,,
นครราชสีมา,14.358611,101.897221,AWN,060365139905,808283 สตาร์เวลล์ การ์เด้นโฮม รีสอร์ท-วังน้ำเขียว,,,,
ชัยภูมิ,15.474166,101.463055,AWN,060365079430,807173,,,,
นครราชสีมา,15.069166,102.199721,AWN|NT,060365079431,808018 บริษัทไทยเบฟเวอเรจ โลจิสติก,060366005158,808018_TBFLG,,
นครราชสีมา,15.236666,102.47111,AWN|NT,060365079432,808043 ฮกกี่ เมกาสโตร์ พิมาย,060367058264,808043_HKMGS,,
นครราชสีมา,14.88861,102.070554,AWN|NT,060365079433,808123 โรงพยาบาล ริมลิฟวิ่ง-นครราชสีมา,060366005162,808123_RLVHP,,
นครราชสีมา,14.975832,102.086666,AWN|NT,060365079434,808421 โรงพยาบาลราชสีมา ฮอสพิทอล,060366005170,808421_RCMHL,,
