idFm,stationCodeRaw,xlsxName,xlsxProvince,xlsxDistrict,xlsxFreq,foundInDb,dbName,dbProvince,dbFreq,dbOnAir,classification,warnings
5520415,05520415,คนรักสุขภาพ,ชัยภูมิ,เกษตรสมบูรณ์,92.25,true,คนรักสุขภาพ,ชัยภูมิ,92.25,false,ALREADY_OFF_AIR,
5520469,05520469,ลูกทุ่งไทยแลนด์,ชัยภูมิ,แก้งคร้อ,88.5,true,ลูกทุ่งไทยแลนด์,ชัยภูมิ,88.5,false,ALREADY_OFF_AIR,
5520421,05520421,วิเศษประดิษฐแก้งคร้อเรดิโอ,ชัยภูมิ,แก้งคร้อ,93.75,true,วิเศษประดิษฐแก้งคร้อเรดิโอ,ชัยภูมิ,93.75,false,ALREADY_OFF_AIR,
5520404,05520404,แม็กซ์ เรดิโอ,ชัยภูมิ,แก้งคร้อ,102.25,true,แม็กซ์ เรดิโอ,ชัยภูมิ,102.25,false,ALREADY_OFF_AIR,
5520475,05520475,สตาร์นิวนครกาหลง,ชัยภูมิ,คอนสวรรค์,104.25,true,สตาร์นิวนครกาหลง,ชัยภูมิ,104.25,false,ALREADY_OFF_AIR,
5520420,05520420,วิเศษประดิษฐ,ชัยภูมิ,คอนสาร,106,true,วิเศษประดิษฐ,ชัยภูมิ,106,false,ALREADY_OFF_AIR,
5540036,05540036,วาไรตี้ เรดิโอ,ชัยภูมิ,จัตุรัส,103.75,true,วาไรตี้ เรดิโอ,ชัยภูมิ,103.75,false,ALREADY_OFF_AIR,
5520424,05520424,จัตุรัสรักถิ่น,ชัยภูมิ,จัตุรัส,99.25,true,จัตุรัสรักถิ่น,ชัยภูมิ,99.25,false,ALREADY_OFF_AIR,
5520423,05520423,จัตุรัส เรดิโอ,ชัยภูมิ,จัตุรัส,95,true,จัตุรัส เรดิโอ,ชัยภูมิ,95,false,ALREADY_OFF_AIR,
5520476,05520476,สหกรณ์การเกษตรบ้านเขว้า,ชัยภูมิ,บ้านเขว้า,104,true,สหกรณ์การเกษตรบ้านเขว้า,ชัยภูมิ,104,false,ALREADY_OFF_AIR,
